"name_worms","sp_worms","name","copyright","mayo_db","serf","newcal","iucn","rls","focus","mayo_campgn","fisheyes_campgn","esthe_mayo","esthe_fisheyes","esthe_all","esthe_pred","method"
"Acanthochromis_polyacanthus_A_4","Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_A_4","YES",0,0,1,0,1,1,0,0,NA,0,NA,1599.4014,"predicted"
"Acanthochromis_polyacanthus_J_1","Acanthochromis_polyacanthus","Acanthochromis_polyacanthus_J_1","YES",0,0,1,0,1,1,0,1,NA,1323.749,1323.749,1316.947,"evaluated"
"Acanthopagrus_australis_A_1","Acanthopagrus_australis","Acanthopagrus_australis_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1247.7122,"predicted"
"Acanthopagrus_australis_A_2","Acanthopagrus_australis","Acanthopagrus_australis_A_2","NO",0,1,0,0,1,1,0,0,NA,0,NA,1264.5488,"predicted"
"Acanthopagrus_latus_A_1","Acanthopagrus_latus","Acanthopagrus_latus_A_1","YES",0,1,0,0,1,1,0,1,NA,1207.978,1207.978,1187.185,"evaluated"
"Acanthostracion_polygonius_A_1","Acanthostracion_polygonius","Acanthostracion_polygonius_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1571.8809,"predicted"
"Acanthostracion_polygonius_A_2","Acanthostracion_polygonius","Acanthostracion_polygonius_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1671.8047,"predicted"
"Acanthostracion_polygonius_J_1","Acanthostracion_polygonius","Acanthostracion_polygonius_J_1","NO",0,0,0,0,1,1,0,0,NA,0,NA,1678.2637,"predicted"
"Acanthostracion_quadricornis_A_1","Acanthostracion_quadricornis","Acanthostracion_quadricornis_A_1","NO",0,0,0,0,1,1,0,0,NA,0,NA,1569.4313,"predicted"
"Acanthostracion_quadricornis_J_1","Acanthostracion_quadricornis","Acanthostracion_quadricornis_J_1","NO",0,0,0,0,1,1,0,0,NA,0,NA,1670.8469,"predicted"
"Acanthurus_achilles_A_1","Acanthurus_achilles","Acanthurus_achilles_A_1",NA,0,1,1,0,1,1,0,0,NA,0,NA,1631.3818,"predicted"
"Acanthurus_albipectoralis_A_1","Acanthurus_albipectoralis","Acanthurus_albipectoralis_A_1","YES",0,1,1,0,1,1,0,1,NA,1469.22,1469.22,1454.019,"evaluated"
"Acanthurus_auranticavus_A_1","Acanthurus_auranticavus","Acanthurus_auranticavus_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1544.7998,"predicted"
"Acanthurus_bahianus_A_1","Acanthurus_bahianus","Acanthurus_bahianus_A_1","YES",0,1,0,0,1,1,0,1,NA,1799.596,1799.596,1804.743,"evaluated"
"Acanthurus_bariene_A_1","Acanthurus_bariene","Acanthurus_bariene_A_1",NA,0,1,0,0,1,1,0,0,NA,0,NA,1529.1804,"predicted"
"Acanthurus_bariene_A_2","Acanthurus_bariene","Acanthurus_bariene_A_2","NO",0,1,0,0,1,1,0,0,NA,0,NA,1651.1084,"predicted"
"Acanthurus_bariene_A_3","Acanthurus_bariene","Acanthurus_bariene_A_3","NO",0,1,0,0,1,1,0,0,NA,0,NA,1660.1016,"predicted"
"Acanthurus_blochii_A_1","Acanthurus_blochii","Acanthurus_blochii_A_1","YES",0,1,1,0,1,1,0,1,NA,1671.735,1671.735,1682.147,"evaluated"
"Acanthurus_chirurgus_A_1","Acanthurus_chirurgus","Acanthurus_chirurgus_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA,1600.3994,"predicted"
"Acanthurus_chronixis_A_1","Acanthurus_chronixis","Acanthurus_chronixis_A_1","NO",0,0,0,1,0,1,0,0,NA,0,NA,1516.4841,"predicted"
"Acanthurus_chronixis_A_2","Acanthurus_chronixis","Acanthurus_chronixis_A_2","NO",0,0,0,1,0,1,0,0,NA,0,NA,1528.2725,"predicted"
"Acanthurus_coeruleus_A_1","Acanthurus_coeruleus","Acanthurus_coeruleus_A_1","NO",0,1,0,0,1,1,0,1,NA,1803.3,1803.3,1808.11,"evaluated"
"Acanthurus_coeruleus_J_1","Acanthurus_coeruleus","Acanthurus_coeruleus_J_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1600.4426,"predicted"
"Acanthurus_coeruleus_J_2","Acanthurus_coeruleus","Acanthurus_coeruleus_J_2","YES",0,1,0,0,1,1,0,0,NA,0,NA,1627.7734,"predicted"
"Acanthurus_dussumieri_A_1","Acanthurus_dussumieri","Acanthurus_dussumieri_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA,1643.1941,"predicted"
"Acanthurus_fowleri_A_1","Acanthurus_fowleri","Acanthurus_fowleri_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA,1643.8999,"predicted"
"Acanthurus_gahhm_A_1","Acanthurus_gahhm","Acanthurus_gahhm_A_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1501.869,"predicted"
"Acanthurus_grammoptilus_A_1","Acanthurus_grammoptilus","Acanthurus_grammoptilus_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA,1706.4634,"predicted"
"Acanthurus_grammoptilus_A_2","Acanthurus_grammoptilus","Acanthurus_grammoptilus_A_2","YES",0,1,0,0,1,1,0,1,NA,1481.616,1481.616,1475.196,"evaluated"
"Acanthurus_grammoptilus_J_1","Acanthurus_grammoptilus","Acanthurus_grammoptilus_J_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1371.6597,"predicted"
"Acanthurus_guttatus_A_1","Acanthurus_guttatus","Acanthurus_guttatus_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA,1746.2756,"predicted"
"Acanthurus_guttatus_A_2","Acanthurus_guttatus","Acanthurus_guttatus_A_2","YES",0,1,1,0,1,1,0,0,NA,0,NA,1685.4705,"predicted"
"Acanthurus_leucocheilus_A_1","Acanthurus_leucocheilus","Acanthurus_leucocheilus_A_1","YES",0,1,0,0,1,1,0,1,NA,1568.44,1568.44,1572.432,"evaluated"
"Acanthurus_leucopareius_A_1","Acanthurus_leucopareius","Acanthurus_leucopareius_A_1","YES",0,1,1,0,1,1,0,1,NA,1358.129,1358.129,1354.106,"evaluated"
"Acanthurus_leucopareius_A_2","Acanthurus_leucopareius","Acanthurus_leucopareius_A_2","NO",0,1,1,0,1,1,0,0,NA,0,NA,1474.1584,"predicted"
"Acanthurus_leucosternon_5","Acanthurus_leucosternon","Acanthurus_leucosternon_5","YES",1,1,0,0,1,1,1,0,1843.976304,0,1759.10878508522,1763.00235700289,"evaluated"
"Acanthurus_leucosternon_A_1","Acanthurus_leucosternon","Acanthurus_leucosternon_A_1","NO",1,1,0,0,1,1,0,0,NA,0,NA,1851.8229,"predicted"
"Acanthurus_leucosternon_A_2","Acanthurus_leucosternon","Acanthurus_leucosternon_A_2","NO",1,1,0,0,1,1,0,1,NA,1870.045,1870.045,1870.82,"evaluated"
"Acanthurus_lineatus_6","Acanthurus_lineatus","Acanthurus_lineatus_6","YES",1,1,1,0,1,1,1,0,1800.779671,0,1721.31425982559,1724.74228576797,"evaluated"
"Acanthurus_lineatus_A_1","Acanthurus_lineatus","Acanthurus_lineatus_A_1","YES",1,1,1,0,1,1,0,0,NA,0,NA,1792.9482,"predicted"
"Acanthurus_lineatus_A_2","Acanthurus_lineatus","Acanthurus_lineatus_A_2","YES",1,1,1,0,1,1,0,0,NA,0,NA,1856.406,"predicted"
"Acanthurus_maculiceps_A_1","Acanthurus_maculiceps","Acanthurus_maculiceps_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA,1665.1069,"predicted"
"Acanthurus_mata_A_1","Acanthurus_mata","Acanthurus_mata_A_1","NO",0,1,1,0,1,1,0,1,NA,1657.074,1657.074,1683.412,"evaluated"
"Acanthurus_mata_J_1","Acanthurus_mata","Acanthurus_mata_J_1","YES",0,1,1,0,1,1,0,0,NA,0,NA,1613.8881,"predicted"
"Acanthurus_nigricans_A_1","Acanthurus_nigricans","Acanthurus_nigricans_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA,1690.6646,"predicted"
"Acanthurus_nigricauda_4","Acanthurus_nigricauda","Acanthurus_nigricauda_4","YES",1,1,1,0,1,1,1,0,1345.34194,0,1322.83290530727,1321.35251158971,"evaluated"
"Acanthurus_nigricauda_A_1","Acanthurus_nigricauda","Acanthurus_nigricauda_A_1","YES",1,1,1,0,1,1,0,0,NA,0,NA,1488.4114,"predicted"
"Acanthurus_nigrofuscus_7","Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_7","YES",1,1,1,0,1,1,1,0,1405.227904,0,1375.2296182431,1374.3946375492,"evaluated"
"Acanthurus_nigrofuscus_A_1","Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_A_1","NO",1,1,1,0,1,1,0,0,NA,0,NA,1698.8689,"predicted"
"Acanthurus_nigrofuscus_A_2","Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_A_2","YES",1,1,1,0,1,1,0,0,NA,0,NA,1476.8622,"predicted"
"Acanthurus_nigrofuscus_A_3","Acanthurus_nigrofuscus","Acanthurus_nigrofuscus_A_3","YES",1,1,1,0,1,1,0,1,NA,1548.202,1548.202,1555.004,"evaluated"
"Acanthurus_nigroris_A_1","Acanthurus_nigroris","Acanthurus_nigroris_A_1","NO",0,1,1,0,1,1,0,0,NA,0,NA,1669.8153,"predicted"
"Acanthurus_nigroris_A_2","Acanthurus_nigroris","Acanthurus_nigroris_A_2","YES",0,1,1,0,1,1,0,0,NA,0,NA,1473.4773,"predicted"
"Acanthurus_nigroris_A_3","Acanthurus_nigroris","Acanthurus_nigroris_A_3","YES",0,1,1,0,1,1,0,1,NA,1359.632,1359.632,1361.675,"evaluated"
"Acanthurus_nubilus_A_1","Acanthurus_nubilus","Acanthurus_nubilus_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA,1585.227,"predicted"
"Acanthurus_nubilus_A_2","Acanthurus_nubilus","Acanthurus_nubilus_A_2","NO",0,1,1,0,1,1,0,0,NA,0,NA,1461.3718,"predicted"
"Acanthurus_olivaceus_A_1","Acanthurus_olivaceus","Acanthurus_olivaceus_A_1","NO",0,1,1,0,1,1,0,0,NA,0,NA,1630.4434,"predicted"
"Acanthurus_olivaceus_J_1","Acanthurus_olivaceus","Acanthurus_olivaceus_J_1","NO",0,1,1,0,1,1,0,1,NA,1664.034,1664.034,1649.809,"evaluated"
"Acanthurus_pyroferus_A_1","Acanthurus_pyroferus","Acanthurus_pyroferus_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA,1663.1829,"predicted"
"Acanthurus_pyroferus_J_1","Acanthurus_pyroferus","Acanthurus_pyroferus_J_1","YES",0,1,1,0,1,1,0,0,NA,0,NA,1621.4622,"predicted"
"Acanthurus_pyroferus_J_2","Acanthurus_pyroferus","Acanthurus_pyroferus_J_2","YES",0,1,1,0,1,1,0,0,NA,0,NA,1452.8721,"predicted"
"Acanthurus_reversus_A_1","Acanthurus_reversus","Acanthurus_reversus_A_1","NO",0,0,0,0,1,1,0,0,NA,0,NA,1636.3562,"predicted"
"Acanthurus_reversus_J_1","Acanthurus_reversus","Acanthurus_reversus_J_1","NO",0,0,0,0,1,1,0,0,NA,0,NA,1556.6316,"predicted"
"Acanthurus_sohal_A_1","Acanthurus_sohal","Acanthurus_sohal_A_1","NO",0,1,0,0,1,1,0,0,NA,0,NA,1707.6387,"predicted"
"Acanthurus_tennentii_8","Acanthurus_tennentii","Acanthurus_tennentii_8","YES",1,1,0,0,1,1,1,0,1730.224699,0,1659.58278942494,1662.25041852688,"evaluated"
"Acanthurus_tennentii_A_1","Acanthurus_tennentii","Acanthurus_tennentii_A_1","YES",1,1,0,0,1,1,0,1,NA,1545.285,1545.285,1538.211,"evaluated"
"Acanthurus_thompsoni_9","Acanthurus_thompsoni","Acanthurus_thompsoni_9","YES",1,1,1,0,1,1,1,0,1379.416611,0,1352.64624779216,1351.53308931591,"evaluated"
"Acanthurus_thompsoni_A_1","Acanthurus_thompsoni","Acanthurus_thompsoni_A_1","YES",1,1,1,0,1,1,0,0,NA,0,NA,1380.6481,"predicted"
"Acanthurus_thompsoni_A_2","Acanthurus_thompsoni","Acanthurus_thompsoni_A_2","YES",1,1,1,0,1,1,0,1,NA,1269.924,1269.924,1251.038,"evaluated"
"Acanthurus_thompsoni_A_3","Acanthurus_thompsoni","Acanthurus_thompsoni_A_3","YES",1,1,1,0,1,1,0,0,NA,0,NA,1313.9749,"predicted"
"Acanthurus_triostegus_10","Acanthurus_triostegus","Acanthurus_triostegus_10","YES",1,1,1,0,1,1,1,0,1517.962566,0,1473.86584830751,1474.24585046121,"evaluated"
"Acanthurus_triostegus_A_1","Acanthurus_triostegus","Acanthurus_triostegus_A_1","NO",1,1,1,0,1,1,0,1,NA,1606.832,1606.832,1601.775,"evaluated"
"Acanthurus_tristis_176","Acanthurus_tristis","Acanthurus_tristis_176","YES",1,1,0,0,1,1,1,0,1371.509794,0,1345.72824576108,1344.5298726147,"evaluated"
"Acanthurus_tristis_A_1","Acanthurus_tristis","Acanthurus_tristis_A_1","YES",1,1,0,0,1,1,0,0,NA,0,NA,1557.0305,"predicted"
"Acanthurus_tristis_J_1","Acanthurus_tristis","Acanthurus_tristis_J_1","YES",1,1,0,0,1,1,0,1,NA,1485.826,1485.826,1478.122,"evaluated"
"Acanthurus_xanthopterus_A_1","Acanthurus_xanthopterus","Acanthurus_xanthopterus_A_1","YES",0,1,1,0,1,1,0,0,NA,0,NA,1574.2198,"predicted"
"Achoerodus_gouldii_A_1","Achoerodus_gouldii","Achoerodus_gouldii_A_1","NO",0,0,0,1,1,1,0,0,NA,0,NA,1569.495,"predicted"
"Achoerodus_gouldii_A_2","Achoerodus_gouldii","Achoerodus_gouldii_A_2","YES",0,0,0,1,1,1,0,0,NA,0,NA,1303.2991,"predicted"
"Achoerodus_gouldii_A_3","Achoerodus_gouldii","Achoerodus_gouldii_A_3","YES",0,0,0,1,1,1,0,0,NA,0,NA,1389.5863,"predicted"
"Achoerodus_viridis_F_1","Achoerodus_viridis","Achoerodus_viridis_F_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1497.9996,"predicted"
"Achoerodus_viridis_J_1","Achoerodus_viridis","Achoerodus_viridis_J_1","YES",0,1,0,0,1,1,0,1,NA,1423.605,1423.605,1425.866,"evaluated"
"Achoerodus_viridis_M_1","Achoerodus_viridis","Achoerodus_viridis_M_1","YES",0,1,0,0,1,1,0,0,NA,0,NA,1543.4443,"predicted"
"Aetapcus_maculatus_A_1","Aetapcus_maculatus","Aetapcus_maculatus_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1408.7238,"predicted"
"Aetapcus_maculatus_A_2","Aetapcus_maculatus","Aetapcus_maculatus_A_2","YES",0,0,0,0,1,1,0,0,NA,0,NA,1451.7192,"predicted"
"Aethaloperca_rogaa_11","Aethaloperca_rogaa","Aethaloperca_rogaa_11","YES",1,1,1,0,1,1,1,0,1199.714693,0,1195.41758881182,1192.36771678023,"evaluated"
"Aethaloperca_rogaa_A_1","Aethaloperca_rogaa","Aethaloperca_rogaa_A_1","YES",1,1,1,0,1,1,0,0,NA,0,NA,1203.9578,"predicted"
"Aethaloperca_rogaa_A_2","Aethaloperca_rogaa","Aethaloperca_rogaa_A_2","YES",1,1,1,0,1,1,0,0,NA,0,NA,1593.8365,"predicted"
"Aethaloperca_rogaa_J_1","Aethaloperca_rogaa","Aethaloperca_rogaa_J_1","YES",1,1,1,0,1,1,0,0,NA,0,NA,1407.877,"predicted"
"Afurcagobius_tamarensis_A_1","Afurcagobius_tamarensis","Afurcagobius_tamarensis_A_1","YES",0,0,0,0,1,1,0,0,NA,0,NA,1319.938,"predicted"
